,date, value
1082,2018-02-01,23.5086
1083,2018-03-01,22.8766
1084,2018-04-01,21.6203
1085,2018-05-01,22.0874
1086,2018-06-01,22.1944
1087,2018-07-01,21.599
1088,2018-08-01,22.2526
1089,2018-09-01,22.3482
1090,2018-10-01,20.483
1091,2018-11-01,20.8488
1092,2018-12-01,18.9353
1093,2019-01-01,20.1213
1094,2019-02-01,20.7195
1095,2019-03-01,21.0909
1096,2019-04-01,21.7774
1097,2019-05-01,20.3449
1098,2019-06-01,21.7473
1099,2019-07-01,22.4257
1100,2019-08-01,22.02
1101,2019-09-01,22.3983
1102,2019-10-01,21.7699
1103,2019-11-01,22.5111
1104,2019-12-01,23.1547
1105,2020-01-01,27.7273
1106,2020-02-01,25.3952
1107,2020-03-01,22.2177
1108,2020-04-01,29.3503
1109,2020-05-01,30.6793
1110,2020-06-01,31.2435
1111,2020-07-01,33.2938
1112,2020-08-01,35.6266
1113,2020-09-01,34.229
1114,2020-10-01,33.282
1115,2020-11-01,36.8614
1116,2020-12-01,38.2297
1117,2021-01-01,28.9722
1118,2021-02-01,29.7282
1119,2021-03-01,30.9898
1120,2021-04-01,26.3364
1121,2021-05-01,26.4809
1122,2021-06-01,27.0692
1123,2021-07-01,25.0628
1124,2021-08-01,25.7894
1125,2021-09-01,24.5626
1126,2021-10-01,23.2748
1127,2021-11-01,23.0808
1128,2021-12-01,24.0874
1129,2022-01-01,22.8162
1130,2022-02-01,22.1007
1131,2022-03-01,22.8913
1132,2022-04-01,21.4914
1133,2022-05-01,21.4925
1134,2022-06-01,19.6889
1135,2022-07-01,22.0777
1136,2022-08-01,21.1407
1137,2022-09-01,19.1662
1138,2022-10-01,22.4138
1139,2022-11-01,23.6186
1140,2022-12-01,22.2258
1141,2023-01-01,23.266
1142,2023-02-01,22.6585
1143,2023-03-01,23.4527
1144,2023-04-01,23.0345
1145,2023-05-01,23.0917
1146,2023-06-01,24.5864
1147,2023-07-01,24.9062
1148,2023-08-01,24.4649
1149,2023-09-01,23.273
1150,2023-10-01,21.7939
1151,2023-11-01,23.7375
1152,2023-12-01,24.7874
1153,2024-01-01,25.3182
1154,2024-02-01,26.6277
1155,2024-03-01,27.4536
1156,2024-04-01,25.7015
1157,2024-05-01,26.9357
1158,2024-06-01,27.8695
1159,2024-07-01,27.5743
1160,2024-08-01,28.2039
1161,2024-09-01,28.7736
1162,2024-10-01,27.0888
1163,2024-11-01,28.6411
1164,2024-12-01,27.9253
1165,2025-01-01,28.6798
1166,2025-02-01,28.2713
